Ref,Val,Package,PosX,PosY,Rot,Side
"FID2","Fiducial","Fiducial_1mm_Mask2mm",-16.120000,2.320000,-0.000000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",-14.820000,-48.880000,-0.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",10.850000,-57.560000,-0.000000,bottom
"J5","DNP IPX","U.FL_Molex_MCRF_73412-0110_Vertical",-1.390000,-43.690000,90.000000,bottom
"C1","0.1uF 50v X5R","C_0603_1608Metric",0.558800,-7.797900,90.000000,top
"C2","33pF C0G","C_0402_1005Metric",6.627000,-6.502400,180.000000,top
"C3","33pF C0G","C_0402_1005Metric",3.785000,-12.750800,180.000000,top
"C4","33pF C0G","C_0402_1005Metric",6.119000,-9.093200,180.000000,top
"C6","DNP","C_0402_1005Metric",-1.495000,-44.600000,0.000000,top
"C7","DNP","C_0402_1005Metric",-4.572000,-24.638000,180.000000,top
"C8","DNP","C_0402_1005Metric",5.994400,-17.553800,270.000000,top
"C9","DNP","C_0402_1005Metric",-1.495000,-45.600000,0.000000,top
"C16","33pF C0G","C_0402_1005Metric",2.800000,-37.200000,90.000000,top
"C17","100pF C0G","C_0402_1005Metric",3.750000,-37.200000,90.000000,top
"C18","0.1uF 50v X5R","C_0603_1608Metric",12.450000,-44.562500,90.000000,top
"C19","22uF 16v X5R","C_0805_2012Metric",10.750000,-45.175000,270.000000,top
"C20","100pF C0G","C_0402_1005Metric",17.750000,-45.475000,180.000000,top
"C21","0.1uF 50v X5R","C_0603_1608Metric",5.842000,-42.697500,270.000000,top
"C22","22uF 16v X5R","C_0805_2012Metric",4.064000,-42.545000,90.000000,top
"D1","TVS","D_SOD-523",3.008400,-5.842000,180.000000,top
"D2","TVS","D_SOD-523",2.692400,-8.320000,90.000000,top
"D3","TVS","D_SOD-523",1.535200,-13.208000,180.000000,top
"D4","LED_B","D_0603_1608Metric",13.335000,-10.388500,270.000000,top
"D5","SS14","D_SMA",6.350000,-53.721000,180.000000,top
"D6","TVS","D_0402_1005Metric",-4.300000,-45.600000,180.000000,top
"D10","SS14","D_SMA",6.350000,-48.800000,180.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-17.090000,2.220000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",-14.910000,-50.350000,0.000000,top
"FID5","Fiducial","Fiducial_1mm_Mask2mm",12.040000,-57.390000,0.000000,top
"J4","IPX","U.FL_Molex_MCRF_73412-0110_Vertical",-2.900000,-48.570000,180.000000,top
"L4","3.3uH 2A","L_4030_Handsoldering",9.906000,-40.767000,180.000000,top
"Q1","2N7002","SOT-23",10.414000,-9.525000,0.000000,top
"R1","150k","R_0402_1005Metric",-8.359000,3.302000,180.000000,top
"R2","86.6k","R_0402_1005Metric",-6.373000,3.302000,0.000000,top
"R3","330R","R_0402_1005Metric",-2.921000,-24.511000,270.000000,top
"R4","330R","R_0402_1005Metric",5.565000,-15.900400,180.000000,top
"R7","22R","R_0402_1005Metric",5.209400,-7.874000,180.000000,top
"R8","22R","R_0402_1005Metric",2.817000,-10.515600,180.000000,top
"R9","22R","R_0402_1005Metric",2.817000,-11.684000,180.000000,top
"R10","1K","R_0402_1005Metric",9.398000,-12.319000,270.000000,top
"R12","0R","R_0402_1005Metric",-2.900000,-45.120000,90.000000,top
"R13","0R","R_0402_1005Metric",3.810000,-28.829000,90.000000,top
"R14","6.98k","R_0402_1005Metric",11.788000,-52.705000,180.000000,top
"R19","40.2k","R_0402_1005Metric",18.197246,-43.975000,90.000000,top
"R22","40.2k","R_0402_1005Metric",17.150000,-42.075000,270.000000,top
"R23","6.98k","R_0402_1005Metric",17.150000,-43.975000,270.000000,top
"U1","74LVC1G17","SOT-353_SC-70-5",3.718800,-18.100000,90.000000,top
"U2","USBLC6-2SC6","SOT-23-6",-7.600000,-49.800000,90.000000,top
"U3","M3406-ADJ","TSOT-23-5",14.897250,-43.043971,270.000000,top
"U4","SIM800C (ordinary version)","SIMCom_SIM800C",-7.825000,-34.425000,270.000000,top
"U5","74LVC1G17","SOT-353_SC-70-5",0.823200,-19.862800,270.000000,top
