Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF 50v X5R","C_0603_1608Metric",19.050000,-31.100000,180.000000,bottom
"C2","33pF C0G","C_0402_1005Metric",24.285000,-30.400000,180.000000,bottom
"C3","33pF C0G","C_0402_1005Metric",23.185000,-24.600000,180.000000,bottom
"C4","33pF C0G","C_0402_1005Metric",23.200000,-27.900000,180.000000,bottom
"D1","TVS","D_SOD-523",22.100000,-30.600000,180.000000,bottom
"D2","TVS","D_SOD-523",21.000000,-28.100000,180.000000,bottom
"D3","TVS","D_SOD-523",21.000000,-24.400000,180.000000,bottom
"D5","TVS","D_SOD-523",23.058579,-10.200000,270.000000,bottom
"D8","TVS","D_SOD-523",26.900000,-35.050000,180.000000,bottom
"D9","TVS","D_SOD-523",26.900000,-33.050000,180.000000,bottom
"D10","SS14","D_SMA",10.950000,-37.350000,180.000000,bottom
"D11","SS14","D_SMA",10.950000,-33.800000,180.000000,bottom
"J5","IPX","U.FL_Molex_MCRF_73412-0110_Vertical",11.000000,-42.600000,90.000000,bottom
"J7","Conn_01x04","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",33.400000,-34.000000,270.000000,bottom
"Q1","NMOS","SOT-23",9.800000,-54.750000,90.000000,bottom
"Q2","NMOS","SOT-23",30.700000,-22.000000,180.000000,bottom
"Q3","PMOS","SOT-23",25.568579,-10.220000,270.000000,bottom
"Q4","NMOS","SOT-23",30.700000,-25.600000,180.000000,bottom
"Q5","NMOS","SOT-23",25.450000,-15.700000,270.000000,bottom
"Q6","NMOS","SOT-23",23.200000,-19.100000,270.000000,bottom
"Q7","NMOS","SOT-23",29.000000,-15.700000,270.000000,bottom
"Q8","NMOS","SOT-23",20.960660,-15.694974,270.000000,bottom
"R1","54.9k","R_0402_1005Metric",4.300000,-4.900000,90.000000,bottom
"R2","340k","R_0402_1005Metric",3.300000,-4.900000,90.000000,bottom
"R3","4.7k","R_0402_1005Metric",32.900000,-25.443503,270.000000,bottom
"R4","4.7k","R_0402_1005Metric",28.000000,-25.600000,0.000000,bottom
"R5","4.7k","R_0402_1005Metric",32.900000,-22.000000,270.000000,bottom
"R6","4.7k","R_0402_1005Metric",28.000000,-22.000000,0.000000,bottom
"R7","22R","R_0402_1005Metric",23.300000,-29.400000,180.000000,bottom
"R8","22R","R_0402_1005Metric",22.200000,-26.900000,180.000000,bottom
"R9","22R","R_0402_1005Metric",22.200000,-25.600000,180.000000,bottom
"R11","40.2k","R_0402_1005Metric",9.700000,-57.000000,180.000000,bottom
"R17","4.7k","R_0402_1005Metric",25.300000,-13.400000,0.000000,bottom
"R18","4.7k","R_0402_1005Metric",25.900000,-18.385000,90.000000,bottom
"R20","4.7k","R_0402_1005Metric",23.200000,-16.450000,90.000000,bottom
"R21","4.7k","R_0402_1005Metric",24.200000,-21.300000,180.000000,bottom
"R24","4.7k","R_0402_1005Metric",29.000000,-13.500000,0.000000,bottom
"R25","4.7k","R_0402_1005Metric",28.500000,-17.900000,0.000000,bottom
"R26","4.7k","R_0402_1005Metric",20.960661,-13.500000,0.000000,bottom
"R27","4.7k","R_0402_1005Metric",20.515000,-17.900000,0.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",15.400000,-54.600000,270.000000,bottom
"C6","DNP","C_0402_1005Metric",10.900000,-43.400000,0.000000,top
"C7","1uF 16v X5R","C_0603_1608Metric",37.700000,-32.500000,90.000000,top
"C8","0.1uF 50v X5R","C_0603_1608Metric",37.700000,-35.500000,270.000000,top
"C9","DNP","C_0402_1005Metric",10.950000,-45.300000,0.000000,top
"C10","DNP","C_0402_1005Metric",27.100000,-43.450000,180.000000,top
"C11","DNP","C_0402_1005Metric",27.065000,-45.350000,180.000000,top
"C12","DNP","C_0402_1005Metric",37.200000,-8.800000,90.000000,top
"C13","33pF C0G","C_0402_1005Metric",35.700000,-8.300000,0.000000,top
"C16","1uF 16v X5R","C_0603_1608Metric",2.300000,-32.500000,90.000000,top
"C17","0.1uF 50v X5R","C_0603_1608Metric",2.300000,-35.500000,270.000000,top
"C18","0.1uF 50v X5R","C_0603_1608Metric",22.875736,-45.739706,270.000000,top
"C19","22uF 16v X5R","C_0805_2012Metric",24.575735,-45.527208,90.000000,top
"C20","100pF C0G","C_0402_1005Metric",13.675737,-46.627209,90.000000,top
"C21","0.1uF 50v X5R","C_0603_1608Metric",17.900000,-47.212500,90.000000,top
"C22","22uF 16v X5R","C_0805_2012Metric",16.200000,-47.000000,270.000000,top
"D4","LED_B","D_0603_1608Metric",10.700000,-55.300000,0.000000,top
"D6","TVS","D_0402_1005Metric",10.935000,-46.250000,0.000000,top
"D7","TVS","D_0402_1005Metric",27.065000,-46.300000,180.000000,top
"J4","IPX","U.FL_Molex_MCRF_73412-0110_Vertical",9.500000,-50.000000,180.000000,top
"J6","IPX","U.FL_Molex_MCRF_73412-0110_Vertical",28.500000,-49.300000,180.000000,top
"J8","IPX","U.FL_Molex_MCRF_73412-0110_Vertical",35.200000,-5.300000,0.000000,top
"L1","47nH","L_0402_1005Metric",33.815000,-8.300000,0.000000,top
"L2","DNP","L_0402_1005Metric",36.700000,-10.300000,180.000000,top
"L3","DNP","L_0402_1005Metric",35.700000,-9.300000,180.000000,top
"L4","3.3uH 2A","L_4030_Handsoldering",20.100000,-51.650000,180.000000,top
"R10","470R","R_0402_1005Metric",10.400000,-53.900000,0.000000,top
"R12","0R","R_0402_1005Metric",9.500000,-43.900000,90.000000,top
"R13","0R","R_0402_1005Metric",9.500000,-45.785000,90.000000,top
"R14","0R","R_0402_1005Metric",28.500000,-43.935000,90.000000,top
"R15","0R","R_0402_1005Metric",28.500000,-45.835000,90.000000,top
"R16","10R","R_0402_1005Metric",31.900000,-8.300000,180.000000,top
"R19","40.2k","R_0402_1005Metric",14.675736,-46.627209,270.000000,top
"R22","40.2k","R_0402_1005Metric",19.815000,-43.500000,0.000000,top
"R23","6.98k","R_0402_1005Metric",15.175736,-44.800000,180.000000,top
"U3","M3406-ADJ","TSOT-23-5",20.375735,-46.527209,90.000000,top
