### Module positions - created on Wed 20 May 2020 07:54:38 PM +08 ###
### Printed by Pcbnew version kicad (5.1.4-dirty)
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val            Package                                                PosX       PosY       Rot  Side
C1        0.1uF_50v_X5R  C_0603_1608Metric                                  -19.0500   -31.1000  180.0000  bottom
C2        33pF_C0G       C_0402_1005Metric                                  -24.2850   -30.4000  180.0000  bottom
C3        33pF_C0G       C_0402_1005Metric                                  -23.1850   -24.6000  180.0000  bottom
C4        33pF_C0G       C_0402_1005Metric                                  -23.2000   -27.9000  180.0000  bottom
D1        TVS            D_SOD-523                                          -22.1000   -30.6000  180.0000  bottom
D2        TVS            D_SOD-523                                          -21.0000   -28.1000  180.0000  bottom
D3        TVS            D_SOD-523                                          -21.0000   -24.4000  180.0000  bottom
D5        TVS            D_SOD-523                                          -23.0586   -10.2000  270.0000  bottom
D8        TVS            D_SOD-523                                          -26.9000   -35.0500  180.0000  bottom
D9        TVS            D_SOD-523                                          -26.9000   -33.0500  180.0000  bottom
D10       SS14           D_SMA                                              -10.9500   -37.3500  180.0000  bottom
D11       SS14           D_SMA                                              -10.9500   -33.8000  180.0000  bottom
J5        IPX            U.FL_Molex_MCRF_73412-0110_Vertical                -11.0000   -42.6000   90.0000  bottom
J7        Conn_01x04     JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal   -33.4000   -34.0000  270.0000  bottom
Q1        NMOS           SOT-23                                              -9.8000   -54.7500   90.0000  bottom
Q2        NMOS           SOT-23                                             -30.7000   -22.0000  180.0000  bottom
Q3        PMOS           SOT-23                                             -25.5686   -10.2200  270.0000  bottom
Q4        NMOS           SOT-23                                             -30.7000   -25.6000  180.0000  bottom
Q5        NMOS           SOT-23                                             -25.4500   -15.7000  270.0000  bottom
Q6        NMOS           SOT-23                                             -23.2000   -19.1000  270.0000  bottom
Q7        NMOS           SOT-23                                             -29.0000   -15.7000  270.0000  bottom
Q8        NMOS           SOT-23                                             -20.9607   -15.6950  270.0000  bottom
R1        54.9k          R_0402_1005Metric                                   -4.3000    -4.9000   90.0000  bottom
R2        340k           R_0402_1005Metric                                   -3.3000    -4.9000   90.0000  bottom
R3        4.7k           R_0402_1005Metric                                  -32.9000   -25.4435  270.0000  bottom
R4        4.7k           R_0402_1005Metric                                  -28.0000   -25.6000    0.0000  bottom
R5        4.7k           R_0402_1005Metric                                  -32.9000   -22.0000  270.0000  bottom
R6        4.7k           R_0402_1005Metric                                  -28.0000   -22.0000    0.0000  bottom
R7        22R            R_0402_1005Metric                                  -23.3000   -29.4000  180.0000  bottom
